Last synchro: 03.11.2017 09:02:27
Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
1208161;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208153;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208152;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208184;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207888;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208045;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208160;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208149;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208108;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208110;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208111;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1208170;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208126;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208123;0;0;1;1;0;0;0;0;29.09.2017 09:35:00
1208242;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208194;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208289;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208284;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208290;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208204;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208087;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208048;3;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208122;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208135;3;0;0;0;0;1;0;0;29.09.2017 09:35:00
1208234;0;0;7;0;0;0;0;0;29.09.2017 09:35:00
1208286;0;0;1;4;0;0;0;0;29.09.2017 09:35:00
1208288;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
